incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
1/1/08 1:54,01,01,2008,100,-76.11630043,43.03716821
1/1/08 23:21,01,01,2008,100,-76.11438505,43.0315188
1/3/08 7:38,01,03,2008,700,-76.13068259,43.04205638
1/4/08 18:30,01,04,2008,600,-76.13018971,43.0404751
1/5/08 21:25,01,05,2008,500,-76.11729562,43.03195883
1/7/08 7:32,01,07,2008,500,-76.11139382,43.03489894
1/9/08 1:26,01,09,2008,400,-76.12288483,43.03362644
1/18/08 2:34,01,18,2008,700,-76.1281514,43.03634659
1/18/08 6:41,01,18,2008,700,-76.13068259,43.04205638
1/20/08 8:15,01,20,2008,700,-76.12904008,43.03672358
1/20/08 23:28,01,20,2008,500,-76.13018971,43.0404751
1/27/08 0:28,01,27,2008,700,-76.13001857,43.0385039
1/27/08 14:20,01,27,2008,700,-76.13068259,43.04205638
1/27/08 21:36,01,27,2008,600,-76.12828981,43.03756067
1/28/08 2:41,01,28,2008,700,-76.13068259,43.04205638
1/28/08 8:44,01,28,2008,700,-76.13068259,43.04205638
1/31/08 16:34,01,31,2008,600,-76.12800497,43.03425641
1/31/08 20:41,01,31,2008,600,-76.1281813,43.03634517
1/31/08 21:11,01,31,2008,700,-76.13055222,43.03775241
2/10/08 14:24,02,10,2008,400,-76.11894761,43.03680509
2/11/08 16:34,02,11,2008,600,-76.11760028,43.03553697
2/11/08 21:01,02,11,2008,700,-76.11758968,43.0354201
2/14/08 22:30,02,14,2008,700,-76.12999593,43.03825646
2/16/08 0:09,02,16,2008,700,-76.12999593,43.03825646
2/17/08 15:44,02,17,2008,100,-76.12891088,43.04089123
2/19/08 3:10,02,19,2008,600,-76.12700767,43.037289
2/22/08 0:51,02,22,2008,700,-76.11894761,43.03680509
2/22/08 12:46,02,22,2008,700,-76.11922745,43.03652984
2/22/08 20:19,02,22,2008,500,-76.11531695,43.03941738
2/23/08 0:16,02,23,2008,700,-76.12999593,43.03825646
2/23/08 9:00,02,23,2008,700,-76.13005634,43.03891634
2/24/08 2:55,02,24,2008,100,-76.12416439,43.03401588
2/26/08 0:34,02,26,2008,500,-76.12839104,43.03864251
2/29/08 1:10,02,29,2008,100,-76.13052837,43.04088935
3/1/08 1:08,03,01,2008,700,-76.12435758,43.03614812
3/2/08 0:35,03,02,2008,700,-76.12999801,43.03934971
3/4/08 11:06,03,04,2008,700,-76.12541027,43.03366031
3/6/08 13:47,03,06,2008,500,-76.11196965,43.04157303
3/8/08 13:00,03,08,2008,600,-76.1113116,43.03287878
3/9/08 15:40,03,09,2008,700,-76.12990532,43.03726663
3/9/08 16:40,03,09,2008,700,-76.12990532,43.03726663
3/10/08 9:55,03,10,2008,700,-76.12904008,43.03672358
3/10/08 19:32,03,10,2008,700,-76.12417654,43.03414689
3/19/08 10:05,03,19,2008,600,-76.13005634,43.03891634
3/20/08 19:20,03,20,2008,700,-76.13005634,43.03891634
3/20/08 23:16,03,20,2008,700,-76.11107611,43.03724092
3/22/08 10:59,03,22,2008,100,-76.1169467,43.04075003
3/22/08 22:18,03,22,2008,700,-76.12891088,43.04089123
3/23/08 2:49,03,23,2008,700,-76.13068259,43.04205638
3/23/08 8:35,03,23,2008,100,-76.12891088,43.04089123
3/27/08 8:39,03,27,2008,700,-76.13068259,43.04205638
3/27/08 14:40,03,27,2008,600,-76.13006411,43.03469547
3/30/08 0:02,03,30,2008,700,-76.12993551,43.03759656
3/31/08 10:09,03,31,2008,700,-76.12990532,43.03726663
4/1/08 18:25,04,01,2008,100,-76.12276621,43.03225782
4/7/08 15:22,04,07,2008,700,-76.13005634,43.03891634
4/10/08 3:40,04,10,2008,100,-76.12904008,43.03672358
4/12/08 2:27,04,12,2008,400,-76.12418228,43.03420936
4/13/08 16:00,04,13,2008,700,-76.13006389,43.03899882
4/14/08 9:22,04,14,2008,700,-76.13055222,43.03775241
4/14/08 18:01,04,14,2008,500,-76.1150173,43.03504758
4/17/08 22:29,04,17,2008,100,-76.12798805,43.03405588
4/18/08 4:46,04,18,2008,700,-76.12999593,43.03825646
4/19/08 16:22,04,19,2008,700,-76.13005634,43.03891634
4/21/08 14:47,04,21,2008,400,-76.11363987,43.03265063
4/24/08 3:34,04,24,2008,700,-76.13005634,43.03891634
4/24/08 6:53,04,24,2008,400,-76.12277697,43.0323801
4/24/08 7:15,04,24,2008,700,-76.13005634,43.03891634
4/25/08 19:37,04,25,2008,600,-76.12030364,43.03672113
4/26/08 3:22,04,26,2008,700,-76.13006389,43.03899882
4/27/08 21:07,04,27,2008,100,-76.12705741,43.03245805
5/1/08 3:10,05,01,2008,700,-76.13005634,43.03891634
5/1/08 23:37,05,01,2008,500,-76.11139382,43.03489894
5/4/08 8:37,05,04,2008,700,-76.11267901,43.03539691
5/5/08 23:16,05,05,2008,500,-76.1229545,43.03428353
5/6/08 20:33,05,06,2008,500,-76.12404038,43.03266472
5/7/08 2:18,05,07,2008,700,-76.12995819,43.03784403
5/7/08 3:06,05,07,2008,100,-76.12117269,43.036696
5/9/08 3:35,05,09,2008,100,-76.1231656,43.03659609
5/10/08 13:14,05,10,2008,700,-76.12999593,43.03825646
5/10/08 21:48,05,10,2008,600,-76.11894761,43.03680509
5/12/08 10:37,05,12,2008,700,-76.12891088,43.04089123
5/14/08 2:57,05,14,2008,600,-76.11909445,43.03854789
5/15/08 18:43,05,15,2008,700,-76.12990532,43.03726663
5/23/08 3:19,05,23,2008,100,-76.12288483,43.03362644
5/23/08 14:55,05,23,2008,700,-76.12999801,43.03934971
5/24/08 10:12,05,24,2008,700,-76.12947523,43.03265932
5/25/08 7:10,05,25,2008,700,-76.11488649,43.04170167
5/25/08 20:55,05,25,2008,700,-76.13055222,43.03775241
5/26/08 15:11,05,26,2008,100,-76.11266597,43.03520866
5/31/08 7:51,05,31,2008,700,-76.12904008,43.03672358
5/31/08 9:47,05,31,2008,700,-76.12904008,43.03672358
5/31/08 16:06,05,31,2008,700,-76.13068259,43.04205638
