incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
8/28/17 10:48,8,28,2017,700,-76.12948204,43.03775494
8/29/17 0:00,8,29,2017,0,0,0
8/30/17 1:59,8,30,2017,700,-76.12956009,43.03729556
8/30/17 21:43,8,30,2017,400,-76.12059742,43.03415122
8/31/17 0:00,8,31,2017,0,0,0
8/31/17 19:08,8,31,2017,100,-76.11511425,43.03342936
8/31/17 20:24,8,31,2017,700,-76.12947923,43.03813602
9/1/17 14:22,9,1,2017,100,-76.11869704,43.04085548
9/2/17 0:00,9,2,2017,0,0,0
9/3/17 0:00,9,3,2017,0,0,0
9/4/17 0:00,9,4,2017,0,0,0
9/5/17 7:54,9,5,2017,400,-76.1257795,43.03574535
9/5/17 19:16,9,5,2017,100,-76.12891084,43.04089125
9/5/17 19:25,9,5,2017,100,-76.1174889,43.04173559
9/6/17 12:19,9,6,2017,700,-76.12909989,43.03674417
9/6/17 20:18,9,6,2017,100,-76.11493257,43.03682988
9/7/17 0:57,9,7,2017,700,-76.13068259,43.04205641
9/8/17 21:48,9,8,2017,100,-76.12887011,43.04007454
9/9/17 0:00,9,9,2017,0,0,0
9/10/17 0:00,9,10,2017,0,0,0
9/11/17 0:00,9,11,2017,0,0,0
9/12/17 0:00,9,12,2017,0,0,0
9/13/17 0:26,9,13,2017,700,-76.12956009,43.03729556
9/13/17 15:10,9,13,2017,400,-76.11511425,43.03342936
9/14/17 12:45,9,14,2017,400,-76.1249148,43.03633792
9/15/17 15:47,9,15,2017,700,-76.12978385,43.03983986
9/15/17 21:33,9,15,2017,700,-76.12909989,43.03674417
9/16/17 0:35,9,16,2017,600,-76.12978385,43.03983986
9/16/17 0:50,9,16,2017,100,-76.12887011,43.04007454
9/16/17 1:13,9,16,2017,700,-76.12948204,43.03775494
9/17/17 17:29,9,17,2017,700,-76.12679674,43.03706693
9/18/17 21:59,9,18,2017,700,-76.13068259,43.04205641
9/19/17 0:00,9,19,2017,0,0,0
9/20/17 0:00,9,20,2017,0,0,0
9/21/17 0:00,9,21,2017,0,0,0
9/22/17 12:22,9,22,2017,100,-76.12980507,43.0362566
9/23/17 0:00,9,23,2017,0,0,0
9/24/17 17:57,9,24,2017,700,-76.12887011,43.04007454
9/25/17 14:16,9,25,2017,700,-76.12956009,43.03729556
9/26/17 17:06,9,26,2017,700,-76.12004455,43.04178536
9/26/17 19:43,9,26,2017,700,-76.13068259,43.04205641
9/27/17 1:49,9,27,2017,700,-76.13052837,43.04088938
9/27/17 11:47,9,27,2017,700,-76.13052837,43.04088938
9/28/17 0:00,9,28,2017,0,0,0
9/29/17 18:35,9,29,2017,700,-76.12958236,43.03868425
9/29/17 19:28,9,29,2017,700,-76.12055003,43.03690835
9/30/17 0:00,9,30,2017,0,0,0
10/1/17 0:00,10,1,2017,0,0,0
10/2/17 23:27,10,2,2017,700,-76.13068259,43.04205641
10/3/17 17:20,10,3,2017,100,-76.12308398,43.03727842
10/3/17 18:55,10,3,2017,700,-76.11953631,43.04163451
10/4/17 7:04,10,4,2017,700,-76.11638147,43.03290887
10/4/17 23:24,10,4,2017,700,-76.12097663,43.03242495
10/5/17 0:00,10,5,2017,0,0,0
10/6/17 21:50,10,6,2017,700,-76.12887011,43.04007454
10/7/17 18:45,10,7,2017,500,-76.12651297,43.03435196
10/8/17 4:43,10,8,2017,700,-76.12887011,43.04007454
10/9/17 11:52,10,9,2017,600,-76.11637274,43.03278699
10/10/17 0:00,10,10,2017,0,0,0
10/11/17 22:37,10,11,2017,700,-76.12956009,43.03729556
10/11/17 22:56,10,11,2017,700,-76.12674495,43.03659034
10/12/17 3:16,10,12,2017,700,-76.12909989,43.03674417
10/13/17 17:59,10,13,2017,600,-76.11852198,43.03960527
10/13/17 18:38,10,13,2017,700,-76.13068259,43.04205641
10/14/17 2:22,10,14,2017,600,-76.12172959,43.03827994
10/14/17 18:31,10,14,2017,400,-76.13012974,43.04172551
10/14/17 22:34,10,14,2017,700,-76.13068259,43.04205641
10/15/17 3:45,10,15,2017,700,-76.12909989,43.03674417
10/16/17 0:00,10,16,2017,0,0,0
10/17/17 23:40,10,17,2017,100,-76.12891084,43.04089125
10/18/17 17:06,10,18,2017,700,-76.12891084,43.04089125
